fichier,feuille,rang,chaine,abonnes,date,entite,titre,verdict,commentaire
A_VERIFIER.xlsx,a verifier,230,FERRANDI Paris,16700,2022-11-04,CIFOG,"Le nouveau livre de FERRANDI Paris : ""TERRINES""",hors sujet,recette
A_VERIFIER.xlsx,a verifier,231,TasteFrance Magazine,5340,2020-10-30,CIFOG,LE BEST CHEF COMPETITION FINAL (French chefs cooking video),hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,232,TasteFrance Magazine,5340,2021-11-04,INTERBEV,MEAT AND CHEESE LOVERS:  The Unexpected French Tour | Food Tradition,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,233,TasteFrance Magazine,5340,2025-01-20,CIFOG,Tournedos Rossini 🥩,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,234,MaximeChao,4910,2018-10-28,CLIPP,Red Dead Redemption 2 : aucun clipping ni popping même dans les airs (mission montgolfière),hors sujet,jeu vidéo
A_VERIFIER.xlsx,a verifier,235,Lucky Délices,4040,2022-12-24,CIFOG,Comment faire la recette rapide du foie gras mi cuit,hors sujet,recette
A_VERIFIER.xlsx,a verifier,236,AgenceBio,2670,2015-02-28,INTERBEV,Quiz viande bio proposé par la commission bio d'Interbev,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,237,AgenceBio,2670,2018-07-09,CNIEL,De la terre à l'assiette - épisode 15,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,238,AgenceBio,2670,2021-03-11,CNIEL,"Replay La Quotidienne ""Dossier BIO"" avec Philippe Henry et Christophe Audoin en ambassadeurs du bio",hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,239,Ophély Mézino,1750,2022-03-11,CNIEL,"Weekly #VLOG n°1: PARIS FASHION WEEK, ÉVÈNEMENTS, UNE SEMAINE DANS MA VIE 🔥",je ne sais pas,"très peu de subscribers - mais elle dit bien 'on est allé au salon de l'agriculture avec Les Porduits Laitiers', mais rien dans la descritpion. Tu as moyen de trouver en ligne des info sur la campagne des produits laitiers? J'ai l'impression qu'ils ont filé plein de thunes à plein de créateurs de contenu"
A_VERIFIER.xlsx,a verifier,240,Marché de Rungis,1320,2020-12-23,CNIEL,Les Paniers Marché de Rungis x Christophe Saintagne,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,241,Marché de Rungis,1320,2021-10-26,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,242,Marché de Rungis,1320,2023-05-31,CIFOG,La saga des restaurants du Marché - Épisode 2,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,243,Marché de Rungis,1320,2023-07-03,CNIEL,RUNGIS CHEESE CHALLENGE,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,244,Marché de Rungis,1320,2023-10-16,CNIEL,Festival des Produits Laitiers 2023,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,245,Marché de Rungis,1320,2023-12-22,CIFOG,Épisode 2 : Cheffe Ghislaine Arabian et son menu de fête à 35€ 👩🏼‍🍳🎄,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,246,Marché de Rungis,1320,2024-04-04,CNIEL,Retour en images sur la 2ème Grande Chasse à l’Œuf au Marché International de Rungis 🐣🐤🥚,hors sujet,pas des influenceurs
A_VERIFIER.xlsx,a verifier,247,Lefooding,681,2008-07-17,CIFOG,Crème de foie gras - Toquéra 001,hors sujet,"recette, pas de signe de collaboration commerciale"
A_VERIFIER.xlsx,a verifier,248,Lefooding,681,2009-05-14,CIFOG,"TOQUÉRA 050, Foie gras poêlé aux fraises des bois par Thomas Boullault, L'ARÔME, PARIS",hors sujet,"recette, pas de signe de collaboration commerciale"
A_VERIFIER.xlsx,a verifier,249,Lefooding,681,2009-12-26,CIFOG,"TOQUÉRA 057, Foie gras poêlé, wok de girolles et groseilles, par Adeline Grattard, Yam'tcha, Paris",hors sujet,"recette, pas de signe de collaboration commerciale"
A_VERIFIER.xlsx,a verifier,250,Lefooding,681,2009-12-26,CIFOG,"TOQUÉRA 072, Croquettes de lapin au foie gras, par Yariv Berreby, Paris",hors sujet,"recette, pas de signe de collaboration commerciale"
A_VERIFIER.xlsx,a verifier,251,Volailles Fermières des Landes,681,2025-11-06,CIFOG,Ballotines de Poulet Fermier des Landes au Foie Gras de Canard Fermier des Landes,hors sujet,"recette, pas de signe de collaboration commerciale"
A_VERIFIER.xlsx,a verifier,252,Naturellement Flexitariens,379,2019-02-18,INTERBEV,"Aimez la viande, mangez-en mieux. - 2019",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,253,Naturellement Flexitariens,379,2020-08-31,INTERBEV,"Aimez la viande, mangez-en mieux. - 2020",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,254,Naturellement Flexitariens,379,2020-08-31,INTERBEV,"Aimez la viande, mangez-en mieux.",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,255,Naturellement Flexitariens,379,2021-04-12,INTERBEV,"Aimez la viande, mangez-en mieux. Thomas revient...",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,256,Naturellement Flexitariens,379,2021-09-21,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,257,Naturellement Flexitariens,379,2021-09-21,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens - 6s,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,258,Naturellement Flexitariens,379,2021-09-21,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens - Qui veut...,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,259,Naturellement Flexitariens,379,2021-09-21,INTERBEV,La Sauce de la Paix - Naturellement Flexitariens - Liberté,hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,260,Naturellement Flexitariens,379,2023-03-17,INTERBEV,"FLEXIVAL, le festival Naturellement Flexitariens !",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,261,Naturellement Flexitariens,379,2023-09-05,INTERBEV,"Aimez la viande, mangez-en mieux.",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,262,Naturellement Flexitariens,379,2023-09-05,INTERBEV,"Aimez la viande, mangez-en mieux.",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,263,Naturellement Flexitariens,379,2023-09-05,INTERBEV,"Aimez la viande, mangez-en mieux.",hors sujet,"C'est directement de la pub du lobby de la viande, sur la chaîne ""@NaturellementFlexitariens"""
A_VERIFIER.xlsx,a verifier,264,Le Poulailler d'Augustin,373,2025-01-05,CIFOG,Composez votre propre planche apéro,hors sujet,pub d'un restaurant avec 374 subscribers. On s'en fiche
A_VERIFIER.xlsx,a verifier,265,Le Poulailler d'Augustin,373,2025-04-20,CIFOG,Cailles CHAPONNÉES farcies au FOIE GRAS maison,hors sujet,pub d'un restaurant avec 374 subscribers. On s'en fiche
A_VERIFIER.xlsx,a verifier,266,Le Poulailler d'Augustin,373,2025-12-01,CIFOG,🎄🥂 COMMANDES de Noël OUVERTES,hors sujet,pub d'un restaurant avec 374 subscribers. On s'en fiche
A_VERIFIER.xlsx,a verifier,267,Le Poulailler d'Augustin,373,2025-12-07,CIFOG,🎄 Bientôt les Fêtes au Poulailler ✨,hors sujet,pub d'un restaurant avec 374 subscribers. On s'en fiche
A_VERIFIER.xlsx,a verifier,268,Le Poulailler d'Augustin,373,2025-12-24,CIFOG,Joyeux Noël,hors sujet,pub d'un restaurant avec 374 subscribers. On s'en fiche
A_VERIFIER.xlsx,a verifier,269,Madrange,221,2019-10-31,INAPORC,Mes Knacks Madrange 2019,hors sujet,pub d'un industrie de la viande https://www.madrange.fr/
A_VERIFIER.xlsx,a verifier,270,Madrange,221,2021-01-15,INAPORC,MADRANGE Les stars du quotidien 2021 - L'étudiante,hors sujet,pub d'un industrie de la viande https://www.madrange.fr/
A_VERIFIER.xlsx,a verifier,271,Madrange,221,2021-01-15,INAPORC,MADRANGE Mon jambon blanc Conservation sans nitrite,hors sujet,pub d'un industrie de la viande https://www.madrange.fr/
A_VERIFIER.xlsx,a verifier,272,Madrange,221,2026-07-28,INAPORC,Les jambons origine France Madrange,hors sujet,pub d'un industrie de la viande https://www.madrange.fr/
A_VERIFIER_2.xlsx,a verifier,2,David Guetta,27900000,2023-11-29,ANVOL,"David Guetta, Ayra Starr & Lil Durk - Big FU (Official Video)",hors sujet,vidéo de musique
A_VERIFIER_2.xlsx,a verifier,3,Poisson Fécond,3840000,2022-11-25,CNIEL,1 An à Boire Que du Lait : ÇA FAIT QUOI ?!,hors sujet,vidéo de vulgarisation sur l'effet des produits laitiers
A_VERIFIER_2.xlsx,a verifier,4,Lena Situations,3210000,2021-08-23,ANVOL,je sui a laeropor bisouuuu je m'anvol,je ne sais pas,Je n'ai pas l'impression que ça parle de viande ou de produits laitiers à aucun moment. Il n'y a rien d'intéressant dans la description. Mais je n'ai pas regardé toute la vidéo. Où en est-on du scrapping complet des transcripts? C'est trop compliqué ?
A_VERIFIER_2.xlsx,a verifier,5,Violin Phonix,3160000,2022-10-20,CLIPP,Game of Thrones - Light of the seven - Violin Phonix (Cover),hors sujet,vidéo de musique
A_VERIFIER_2.xlsx,a verifier,6,Benoit Chevalier,2910000,2026-08-02,CLIPP,ÉPISODE 38 - DEUXIÈME JOUR DE TOURNAGE DU CLIP 🇺🇸🌴,je ne sais pas,2 heures de vidéo. Je ne regard pas tout. Rien d'intéressant dans la description
A_VERIFIER_2.xlsx,a verifier,7,Benoit Chevalier,2910000,2026-08-02,CLIPP,ÉPISODE 37 - PREMIER JOUR DU TOURNAGE DU CLIP 🇺🇸🌴,je ne sais pas,Pareil
